Stand;Made by Stand
Discord;Made by lev
Youtube;Made by lev
Gradient Pulsive;Made by Sk;Pulsive.lua
Kiddions;Made by Maddy;so no head.lua
2Take1;Made by Ukn (Carlos)
Circuit;Made by Ukn (Carlos)
Epsilon;Made by Ukn (Carlos)
Fragment;Made by Ukn (Carlos)
Impulse;Made by Ukn (Carlos)
Luna;Made by Ukn (Carlos)
Ozark;Made by Ukn (Carlos)
Paragon;Made by Ukn (Carlos)
Phantom-X;Made by Ukn (Carlos)
Rebound;Made by Ukn (Carlos)
Serendipity;Made by Ukn (Carlos)
Terror;Made by Ukn (Carlos)
The Purge;Made by Ukn (Carlos)
X-Force;Made by Ukn (Carlos)
XCheats;Made by Ukn (Carlos)
